caracter,probabilidad
 ,0.17471943953713218
a,0.11183314688358956
b,0.014382362022971284
c,0.03363561814417543
d,0.04316353751689437
e,0.10426421531655117
f,0.0051594271858912385
g,0.008021979134501978
h,0.007220920167450431
i,0.05230548061007031
j,0.0038319218834630044
k,2.9106407965538012e-05
l,0.049421415229485045
m,0.021510900982531094
n,0.05937833774569605
o,0.07845695541910697
p,0.020940162287206847
q,0.00856740790985619
r,0.056789132932761666
s,0.0581938334910985
t,0.031751294602406464
u,0.037192927395963575
v,0.008704081477694367
w,3.290289596104297e-05
x,0.0008377583510080941
y,0.006446436616367419
z,0.0032092978522001913
